timestamp,process_id,worker_id,label,release,batch,metric,value
2025-09-18T16:44:43.671000,62819,1,worker-1,2023-10-19,21,latency,7.576
2025-09-18T16:44:50.063000,62820,2,worker-2,2023-10-18,40,latency,7.671
2025-09-18T16:44:51.287000,62819,1,worker-1,2023-10-19,22,latency,7.615
2025-09-18T16:44:58.128000,62820,2,worker-2,2023-10-18,41,latency,8.065
2025-09-18T16:44:59.123000,62819,1,worker-1,2023-10-19,23,latency,7.836
2025-09-18T16:45:06.269000,62820,2,worker-2,2023-10-18,42,latency,8.141
2025-09-18T16:45:07.049000,62819,1,worker-1,2023-10-19,24,latency,7.926
2025-09-18T16:45:14.754000,62819,1,worker-1,2023-10-19,25,latency,7.705
2025-09-18T16:45:14.856000,62820,2,worker-2,2023-10-18,43,latency,8.586
2025-09-18T16:45:23.035000,62819,1,worker-1,2023-10-19,26,latency,8.281
2025-09-18T16:45:23.119000,62820,2,worker-2,2023-10-18,44,latency,8.263
2025-09-18T16:45:31.424000,62819,1,worker-1,2023-10-19,27,latency,8.388
2025-09-18T16:45:32.173000,62820,2,worker-2,2023-10-18,45,latency,9.054
2025-09-18T16:45:39.355000,62819,1,worker-1,2023-10-19,28,latency,7.931
2025-09-18T16:45:40.877000,62820,2,worker-2,2023-10-18,46,latency,8.703
2025-09-18T16:45:47.209000,62819,1,worker-1,2023-10-19,29,latency,7.854
2025-09-18T16:45:49.547000,62820,2,worker-2,2023-10-18,47,latency,8.670
2025-09-18T16:45:55.517000,62819,1,worker-1,2023-10-19,30,latency,8.308
2025-09-18T16:45:58.327000,62820,2,worker-2,2023-10-18,48,latency,8.779
2025-09-18T16:45:58.566000,62819,1,worker-1,2023-10-19,31,latency,3.049
2025-09-18T16:45:58.567000,62819,1,worker-1,2023-10-19,32,batches,32.000
2025-09-18T16:45:59.141000,62819,1,worker-1,2023-10-19,,max-rss,9.293
2025-09-18T16:45:59.162000,62817,,coordinator,,,max-rss,0.098
2025-09-18T16:46:07.132000,62820,2,worker-2,2023-10-18,49,latency,8.805
2025-09-18T16:46:08.418000,62819,1,worker-1,2023-10-20,0,latency,8.128
2025-09-18T16:46:16.084000,62820,2,worker-2,2023-10-18,50,latency,8.952
2025-09-18T16:46:17.293000,62819,1,worker-1,2023-10-20,1,latency,8.874
2025-09-18T16:46:25.398000,62820,2,worker-2,2023-10-18,51,latency,9.314
2025-09-18T16:46:25.648000,62819,1,worker-1,2023-10-20,2,latency,8.356
2025-09-18T16:46:35.001000,62820,2,worker-2,2023-10-18,52,latency,9.602
2025-09-18T16:46:35.012000,62819,1,worker-1,2023-10-20,3,latency,9.364
2025-09-18T16:46:44.261000,62819,1,worker-1,2023-10-20,4,latency,9.249
2025-09-18T16:46:44.263000,62820,2,worker-2,2023-10-18,53,latency,9.262
2025-09-18T16:46:53.134000,62820,2,worker-2,2023-10-18,54,latency,8.871
2025-09-18T16:46:53.459000,62819,1,worker-1,2023-10-20,5,latency,9.198
2025-09-18T16:47:02.288000,62820,2,worker-2,2023-10-18,55,latency,9.154
